wilayah_kode,wilayah,tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB,PDRB_tahun_sebelumnya,Laju_Pertumbuhan_PDRB,wilayah_kode_bps,namapemda_djpk,Nama Pemda,1. Pelayanan Umum,3. Ketertiban dan Keamanan,4. Ekonomi,5. Lingkungan Hidup,6. Perumahan dan Fasilitas Umum,7. Kesehatan,8. Pariwisata,10. Pendidikan,11. Perlindungan Sosial,IPM
1101,Simeulue,2021,1665.12,93.8,831.37,1067.2,6.03,-1203.23,2460.29,2274.36,8.175047046202002,1101,Kab. Simeulue,Kab. Simeulue,404706185739.0,0.0,0.0,0.0,0.0,0.0,0.0,172255322531.0,15029418407.0,66.41
1102,Aceh Singkil,2021,1723.83,46.15,900.81,849.38,29.92,-835.69,2714.4,2422.61,12.044447930124946,1102,Kab. Aceh Singkil,Kab. Aceh Singkil,320432520101.0,21453610142.0,68633241891.0,0.0,113400476525.0,0.0,7484907644.0,230863261768.0,29281977686.0,69.22
1103,Aceh Selatan,2021,3893.91,106.85,1340.15,2092.63,20.19,-1483.88,5969.85,5530.75,7.939248745649332,1103,Kab. Aceh Selatan,Kab. Aceh Selatan,527766284459.0,5329242251.0,122724107732.0,14038168430.0,29530335282.0,0.0,4024514188.0,388206181939.0,4015659644.0,67.44
1104,Aceh Tenggara,2021,3946.21,192.8,1381.97,1531.03,101.31,-1731.74,5421.59,5058.53,7.177183885437081,1104,Kab. Aceh Tenggara,Kab. Aceh Tenggara,617164700995.0,0.0,0.0,0.0,0.0,0.0,0.0,367740331677.0,0.0,69.44
1105,Aceh Timur,2021,8508.55,298.6,1597.8,4119.79,182.12,-3009.02,11697.83,10605.78,10.29674385099445,1105,Kab. Aceh Timur,Kab. Aceh Timur,558383106487.0,0.0,112431404241.0,0.0,9577721000.0,174700274945.0,0.0,405564643826.0,0.0,67.83
1106,Aceh Tengah,2021,3508.74,127.46,1277.36,3326.19,44.36,-252.16,8031.95,7387.37,8.725432731811186,1106,Kab. Aceh Tengah,Kab. Aceh Tengah,587761865742.0,0.0,77530852771.0,0.0,0.0,0.0,0.0,285205082891.0,2945659598.0,73.37
1107,Aceh Barat,2021,4160.38,208.01,1370.24,4107.97,81.43,55.07,9983.11,8109.23,23.107989291215087,1107,Kab. Aceh Barat,Kab. Aceh Barat,574579802965.0,0.0,183679328808.0,8923119919.0,0.0,240021117017.0,0.0,341496007450.0,0.0,71.67
1108,Aceh Besar,2021,9723.01,64.72,2445.77,5062.0,170.63,-3415.65,14050.48,13329.47,5.4091422989811315,1108,Kab. Aceh Besar,Kab. Aceh Besar,883393425249.0,0.0,135281310850.0,0.0,154434799726.0,0.0,0.0,444562464933.0,45349275099.0,73.58
1109,Pidie,2021,7802.13,282.78,2310.56,3425.94,-2.99,-2477.03,11341.39,10758.81,5.414911128647127,1109,Kab. Pidie,Kab. Pidie,946589480567.0,0.0,166787821960.0,12382955330.0,11164791266.0,0.0,0.0,480472058380.0,4006187701.0,70.7
1110,Bireuen,2021,9220.85,262.98,2050.34,3372.55,55.64,-882.83,14079.53,13084.37,7.605715827357372,1110,Kab. Bireuen,Kab. Bireuen,856375857127.0,0.0,267333513796.0,19248725798.0,10290586674.0,367102885819.0,0.0,511119729668.0,5158878706.0,72.33
1111,Aceh Utara,2021,11690.24,434.31,2776.09,6937.45,138.75,1266.07,23242.91,19702.65,17.968445868956703,1111,Kab. Aceh Utara,Kab. Aceh Utara,1066001993820.0,0.0,174746855610.0,0.0,64490966675.0,479489798865.0,0.0,729747690747.0,0.0,69.46
1112,Aceh Barat Daya,2021,2355.17,62.04,878.34,2549.78,18.76,-1726.24,4137.85,3917.42,5.626917716252031,1112,Kab. Aceh Barat Daya,Kab. Aceh Barat Daya,426995508112.0,2118736634.0,0.0,0.0,25269627446.0,0.0,0.0,225724840301.0,0.0,66.99
1113,Gayo Lues,2021,1436.63,81.68,945.15,1178.27,65.78,-846.7,2860.81,2693.27,6.220690833076519,1113,Kab. Gayo Lues,Kab. Gayo Lues,397660783874.0,0.0,123425567498.0,15988564457.0,18356578925.0,0.0,0.0,175482884724.0,0.0,67.56
1114,Aceh Tamiang,2021,5012.57,134.05,1228.47,2728.51,1.1,-231.33,8873.38,7512.69,18.111888018805512,1114,Kab. Aceh Tamiang,Kab. Aceh Tamiang,553251911374.0,0.0,0.0,0.0,0.0,233794702588.0,0.0,311613676370.0,0.0,69.48
1115,Nagan Raya,2021,3584.24,174.0,1014.88,3153.23,6.82,1152.73,9085.9,7656.57,18.668019752970324,1115,Kab. Nagan Raya,Kab. Nagan Raya,499887123748.0,0.0,0.0,0.0,0.0,0.0,0.0,313945390949.0,0.0,69.31
1116,Aceh Jaya,2021,1470.87,58.32,980.02,1582.2,-0.26,-1232.06,2859.09,2625.73,8.887433209050439,1116,Kab. Aceh Jaya,Kab. Aceh Jaya,388318463082.0,0.0,0.0,0.0,16480089792.0,185550724643.0,0.0,238008861051.0,0.0,69.84
1117,Bener Meriah,2021,2457.62,102.98,918.02,2299.98,4.13,-776.09,5006.64,4527.82,10.575067030049794,1117,Kab. Bener Meriah,Kab. Bener Meriah,467248056703.0,0.0,0.0,0.0,0.0,188681383023.0,0.0,0.0,0.0,73.27
