,wilayah_kode_bps,wilayah_bps,kodepemda_djpk,namapemda_djpk,skor_kecocokan
0,1101,Simeulue,01.11,Kab. Simeulue,100.0
1,1102,Aceh Singkil,01.04,Kab. Aceh Singkil,100.0
2,1103,Aceh Selatan,01.03,Kab. Aceh Selatan,100.0
3,1104,Aceh Tenggara,01.06,Kab. Aceh Tenggara,100.0
4,1105,Aceh Timur,01.07,Kab. Aceh Timur,100.0
5,1106,Aceh Tengah,01.05,Kab. Aceh Tengah,100.0
6,1107,Aceh Barat,01.01,Kab. Aceh Barat,100.0
7,1108,Aceh Besar,01.02,Kab. Aceh Besar,100.0
8,1109,Pidie,01.10,Kab. Pidie,100.0
9,1110,Bireuen,01.09,Kab. Bireuen,100.0
10,1111,Aceh Utara,01.08,Kab. Aceh Utara,100.0
11,1112,Aceh Barat Daya,01.17,Kab. Aceh Barat Daya,100.0
12,1113,Gayo Lues,01.16,Kab. Gayo Lues,100.0
13,1114,Aceh Tamiang,01.20,Kab. Aceh Tamiang,100.0
14,1115,Nagan Raya,01.19,Kab. Nagan Raya,100.0
15,1116,Aceh Jaya,01.18,Kab. Aceh Jaya,100.0
16,1117,Bener Meriah,01.21,Kab. Bener Meriah,100.0
17,1118,Pidie Jaya,01.22,Kab. Pidie Jaya,100.0
18,1171,Kota Banda Aceh,01.12,Kota Banda Aceh,100.0
19,1172,Kota Sabang,01.13,Kota Sabang,100.0
20,1173,Kota Langsa,01.14,Kota Langsa,100.0
21,1174,Kota Lhokseumawe,01.15,Kota Lhokseumawe,100.0
22,1175,Kota Subulussalam,01.23,Kota Subulussalam,100.0
23,1201,Nias,02.08,Kab. Nias,100.0
24,1202,Mandailing Natal,02.07,Kab. Mandailing Natal,100.0
25,1203,Tapanuli Selatan,02.10,Kab. Tapanuli Selatan,100.0
26,1204,Tapanuli Tengah,02.11,Kab. Tapanuli Tengah,100.0
27,1205,Tapanuli Utara,02.12,Kab. Tapanuli Utara,100.0
28,1206,Toba Samosir,02.13,Kab. Toba Samosir,100.0
29,1207,Labuhan Batu,02.05,Kab. Labuhanbatu,-1.0
30,1208,Asahan,02.01,Kab. Asahan,100.0
31,1209,Simalungun,02.09,Kab. Simalungun,100.0
32,1210,Dairi,02.02,Kab. Dairi,100.0
33,1211,Karo,02.04,Kab. Karo,100.0
34,1212,Deli Serdang,02.03,Kab. Deli Serdang,100.0
35,1213,Langkat,02.06,Kab. Langkat,100.0
36,1214,Nias Selatan,02.22,Kab. Nias Selatan,100.0
37,1215,Humbang Hasundutan,02.23,Kab. Humbang Hasundutan,100.0
38,1216,Pakpak Bharat,02.21,Kab. Pakpak Bharat,100.0
39,1217,Samosir,02.25,Kab. Samosir,100.0
40,1218,Serdang Bedagai,02.24,Kab. Serdang Bedagai,100.0
41,1219,Batu Bara,02.26,Kab. Batu Bara,100.0
42,1220,Padang Lawas Utara,02.28,Kab. Padang Lawas Utara,100.0
43,1221,Padang Lawas,02.27,Kab. Padang Lawas,100.0
44,1222,Labuhan Batu Selatan,02.29,Kab. Labuhanbatu Selatan,76.92307692307692
45,1223,Labuhan Batu Utara,02.30,Kab. Labuhanbatu Utara,74.28571428571429
46,1224,Nias Utara,02.31,Kab. Nias Utara,100.0
47,1225,Nias Barat,02.32,Kab. Nias Barat,100.0
48,1271,Kota Sibolga,02.17,Kota Sibolga,100.0
49,1272,Kota Tanjung Balai,02.18,Kota Tanjung Balai,100.0
50,1273,Kota Pematang Siantar,02.16,Kota Pematang Siantar,100.0
51,1274,Kota Tebing Tinggi,02.19,Kota Tebing Tinggi,100.0
52,1275,Kota Medan,02.15,Kota Medan,100.0
53,1276,Kota Binjai,02.14,Kota Binjai,100.0
54,1277,Kota Padangsidimpuan,02.20,Kota Padang Sidempuan,90.32258064516128
55,1278,Kota Gunungsitoli,02.33,Kota Gunungsitoli,100.0
56,1301,Kepulauan Mentawai,03.03,Kab. Kepulauan Mentawai,100.0
57,1302,Pesisir Selatan,03.06,Kab. Pesisir Selatan,100.0
58,1303,Solok,03.08,Kab. Solok,100.0
59,1304,Sijunjung,03.07,Kab. Sijunjung,100.0
60,1305,Tanah Datar,03.09,Kab. Tanah Datar,100.0
61,1306,Padang Pariaman,03.04,Kab. Padang Pariaman,100.0
62,1307,Agam,03.02,Kab. Agam,100.0
63,1308,Lima Puluh Kota,03.01,Kab. Limapuluh Kota,94.73684210526316
64,1309,Pasaman,03.05,Kab. Pasaman,100.0
65,1310,Solok Selatan,03.19,Kab. Solok Selatan,100.0
66,1311,Dharmasraya,03.18,Kab. Dharmasraya,100.0
67,1312,Pasaman Barat,03.17,Kab. Pasaman Barat,100.0
68,1371,Kota Padang,03.12,Kota Padang,100.0
69,1372,Kota Solok,03.08,Kab. Solok,100.0
70,1373,Kota Sawah Lunto,03.14,Kota Sawahlunto,-1.0
71,1374,Kota Padang Panjang,03.11,Kota Padang Panjang,100.0
72,1375,Kota Bukittinggi,03.10,Kota Bukit Tinggi,95.65217391304348
73,1376,Kota Payakumbuh,03.13,Kota Payakumbuh,100.0
74,1377,Kota Pariaman,03.16,Kota Pariaman,100.0
75,1401,Kuantan Singingi,04.05,Kab. Kuantan Singingi,100.0
76,1402,Indragiri Hulu,04.03,Kab. Indragiri Hulu,100.0
77,1403,Indragiri Hilir,04.02,Kab. Indragiri Hilir,100.0
78,1404,Pelalawan,04.06,Kab. Pelalawan,100.0
79,1405,Siak,04.09,Kab. Siak,100.0
80,1406,Kampar,04.04,Kab. Kampar,100.0
81,1407,Rokan Hulu,04.08,Kab. Rokan Hulu,100.0
