wilayah_kode,wilayah,tahun,value
7206,Toli-Toli,2011,59.12
3320,Jepara,2021,72.36
1500,JAMBI,2015,68.89
5311,Ende,2016,65.74
9999,INDONESIA,2024,74.2
9108,Raja Ampat,2023,65.26
1222,Labuhan Batu Selatan,2015,69.67
5321,Malaka,2020,60.21
1208,Asahan,2011,65.87
6204,Barito Selatan,2010,64.51
3274,Kota Cirebon,2011,71.49
1673,Kota Pagar Alam,2024,71.19
6571,Kota Tarakan,2016,74.88
9435,Intan Jaya,2016,44.82
9708,Pegunungan Bintang,2022,47.21
1306,Padang Pariaman,2014,67.56
3277,Kota Cimahi,2018,77.56
6202,Kotawaringin Timur,2017,70.17
7322,Luwu Utara,2024,72.07
1813,Pesisir Barat,2023,66.0
3216,Bekasi,2022,75.22
6171,Kota Pontianak,2023,81.03
8205,Halmahera Utara,2016,66.02
1212,Deli Serdang,2024,76.92
1217,Samosir,2010,65.14
1274,Kota Tebing Tinggi,2011,70.84
3326,Pekalongan,2013,66.26
6502,Bulungan,2019,71.66
7104,Kepulauan Talaud,2022,70.43
7472,Kota Baubau,2014,73.13
7317,Luwu,2018,69.6
6372,Kota Banjar Baru,2012,76.67
5106,Bangli,2021,69.37
7316,Enrekang,2022,73.39
7304,Jeneponto,2011,58.95
3501,Pacitan,2021,68.57
3376,Kota Tegal,2019,74.93
1200,SUMATERA UTARA,2021,72.0
3211,Sumedang,2016,69.45
9703,Lanny Jaya,2022,49.62
6211,Gunung Mas,2013,67.75
1405,Siak,2021,73.98
3672,Kota Cilegon,2014,71.57
1274,Kota Tebing Tinggi,2014,72.13
1305,Tanah Datar,2013,68.12
8108,Maluku Barat Daya,2020,61.9
1605,Musi Rawas,2017,65.31
5272,Kota Bima,2014,72.23
3207,Ciamis,2012,66.29
2104,Lingga,2023,67.44
1809,Pesawaran,2020,65.79
7411,Kolaka Timur,2019,66.49
3504,Tulungagung,2016,70.82
1203,Tapanuli Selatan,2017,68.69
6172,Kota Singkawang,2020,71.94
1224,Nias Utara,2013,58.29
2104,Lingga,2014,60.75
5319,Manggarai Timur,2024,64.2
8203,Kepulauan Sula,2018,62.96
3316,Blora,2022,69.95
5313,Manggarai,2022,65.83
3504,Tulungagung,2017,71.24
6205,Barito Utara,2021,70.79
6108,Kapuas Hulu,2018,65.03
6208,Seruyan,2021,67.67
7101,Bolaang Mongondow,2015,65.03
1813,Pesisir Barat,2016,61.5
3277,Kota Cimahi,2014,76.06
7600,SULAWESI BARAT,2024,68.2
3203,Cianjur,2019,65.38
2100,KEPULAUAN RIAU,2022,76.46
7308,Maros,2014,66.65
1612,Penukal Abab Lematang Ilir,2015,60.83
3525,Gresik,2010,69.9
5309,Flores Timur,2016,61.9
9433,Puncak,2016,39.96
6306,Hulu Sungai Selatan,2023,70.5
6305,Tapin,2017,68.7
6209,Katingan,2020,68.68
3210,Majalengka,2016,65.25
7415,Buton Selatan,2018,63.47
1105,Aceh Timur,2010,61.75
7106,Minahasa Utara,2015,71.09
1702,Rejang Lebong,2020,70.44
5307,Alor,2010,55.46
3303,Purbalingga,2012,64.94
9414,Mappi,2023,60.57
9434,Dogiyai,2017,54.04
1173,Kota Langsa,2022,77.82
3273,Kota Bandung,2012,78.3
1811,Mesuji,2020,63.63
3376,Kota Tegal,2017,73.95
7503,Pohuwato,2016,63.17
1217,Samosir,2015,68.43
5317,Sumba Barat Daya,2012,58.22
3300,JAWA TENGAH,2018,71.12
1702,Rejang Lebong,2018,69.4
7302,Bulukumba,2010,62.73
1100,ACEH,2011,67.45
6411,Mahakam Ulu,2018,66.67
9171,Kota Sorong,2019,77.98
1275,Kota Medan,2022,81.76
7212,Morowali Utara,2016,66.57
1112,Aceh Barat Daya,2017,65.09
6303,Banjar,2010,64.46
5102,Tabanan,2016,74.19
6305,Tapin,2018,69.53
5100,BALI,2010,70.1
3211,Sumedang,2012,67.36
7206,Toli-Toli,2018,64.6
3211,Sumedang,2011,66.16
9434,Dogiyai,2020,54.84
1705,Seluma,2018,65.99
1273,Kota Pematang Siantar,2017,77.54
9433,Puncak,2013,37.73
1201,Nias,2022,63.69
1813,Pesisir Barat,2015,60.55
6102,Bengkayang,2014,64.4
7310,Barru,2019,70.6
7173,Kota Tomohon,2019,76.67
7206,Toli-Toli,2016,63.27
7322,Luwu Utara,2015,67.44
3601,Pandeglang,2017,63.82
7504,Bone Bolango,2020,69.98
2101,Karimun,2019,71.1
6105,Sanggau,2010,60.57
2102,Bintan,2013,71.31
3172,Kota Jakarta Timur,2017,81.61
1808,Tulangbawang,2022,69.53
8207,Pulau Morotai,2023,64.73
1800,LAMPUNG,2011,64.2
5271,Kota Mataram,2021,79.14
3510,Banyuwangi,2011,65.48
2172,Kota Tanjung Pinang,2010,73.76
1309,Pasaman,2013,62.91
6471,Kota Balikpapan,2010,75.55
6501,Malinau,2018,71.74
6502,Bulungan,2024,73.34
6200,KALIMANTAN TENGAH,2020,71.05
5105,Klungkung,2017,70.13
9428,Mamberamo Raya,2019,52.2
7309,Pangkajene dan Kepulauan,2020,68.72
8105,Kepulauan Aru,2016,61.32
5314,Rote Ndao,2014,57.82
9604,Nabire,2022,69.91
2172,Kota Tanjung Pinang,2020,78.91
1312,Pasaman Barat,2014,64.56
1311,Dharmasraya,2018,70.86
3271,Kota Bogor,2021,76.59
3573,Kota Malang,2018,80.89
9602,Dogiyai,2023,56.7
3214,Purwakarta,2018,69.98
6172,Kota Singkawang,2014,69.84
1903,Bangka Barat,2021,69.6
6207,Lamandau,2015,68.3
1903,Bangka Barat,2013,65.85
7174,Kota Kotamobagu,2024,75.27
3279,Kota Banjar,2022,72.55
1110,Bireuen,2010,66.42
6171,Kota Pontianak,2024,81.57
1102,Aceh Singkil,2015,66.05
1210,Dairi,2015,69.0
5203,Lombok Timur,2023,68.41
9104,Teluk Bintuni,2016,61.81
2100,KEPULAUAN RIAU,2017,74.45
1800,LAMPUNG,2020,69.69
8108,Maluku Barat Daya,2017,60.16
1307,Agam,2014,69.32
3515,Sidoarjo,2011,74.48
3175,Kota Jakarta Utara,2018,79.87
1504,Batang Hari,2024,71.67
5317,Sumba Barat Daya,2014,59.9
7326,Toraja Utara,2022,70.36
3314,Sragen,2016,71.43
3218,Pangandaran,2016,65.79
3273,Kota Bandung,2016,80.13
1277,Kota Padangsidimpuan,2023,76.44
6211,Gunung Mas,2016,69.73
5104,Gianyar,2017,76.09
7303,Bantaeng,2021,68.99
3508,Lumajang,2010,59.62
9100,PAPUA BARAT,2012,60.3
3372,Kota Surakarta,2023,83.54
6213,Murung Raya,2023,69.42
3527,Sampang,2020,62.7
6203,Kapuas,2011,64.01
6108,Kapuas Hulu,2010,59.84
1903,Bangka Barat,2022,70.12
3403,Gunung Kidul,2019,69.96
1201,Nias,2013,57.43
1310,Solok Selatan,2021,69.23
7203,Morowali,2021,72.29
9420,Keerom,2021,66.49
1220,Padang Lawas Utara,2024,72.32
3175,Kota Jakarta Utara,2019,80.17
5307,Alor,2021,61.37
1276,Kota Binjai,2010,70.54
3518,Nganjuk,2016,70.5
1671,Kota Palembang,2024,80.57
7204,Poso,2011,65.59
9430,Lanny Jaya,2020,47.86
5316,Sumba Tengah,2014,57.6
7173,Kota Tomohon,2015,74.36
1222,Labuhan Batu Selatan,2020,71.4
6111,Kayong Utara,2022,63.81
3500,JAWA TIMUR,2024,74.09
3316,Blora,2019,68.65
1277,Kota Padangsidimpuan,2015,72.8
1900,KEP. BANGKA BELITUNG,2014,68.27
1371,Kota Padang,2017,81.58
7100,SULAWESI UTARA,2022,73.81
6111,Kayong Utara,2018,61.82
1601,Ogan Komering Ulu,2018,69.01
2101,Karimun,2021,71.7
2101,Karimun,2017,70.26
3516,Mojokerto,2019,73.53
1602,Ogan Komering Ilir,2016,65.44
6303,Banjar,2021,69.89
1210,Dairi,2011,66.62
5102,Tabanan,2017,74.86
1603,Muara Enim,2021,68.86
9400,PAPUA,2019,60.84
3513,Probolinggo,2012,61.33
1208,Asahan,2018,69.49
9404,Nabire,2010,64.49
1506,Tanjung Jabung Timur,2020,64.43
3172,Kota Jakarta Timur,2019,82.69
1700,BENGKULU,2016,69.33
1812,Tulang Bawang Barat,2015,63.01
3171,Kota Jakarta Selatan,2019,84.75
3577,Kota Madiun,2020,80.91
7605,Mamuju Utara / Pasangkayu,2013,63.76
2102,Bintan,2019,73.98
8272,Kota Tidore Kepulauan,2024,72.91
3326,Pekalongan,2011,64.72
5206,Bima,2015,63.48
3402,Bantul,2021,80.28
9432,Yalimo,2019,48.08
3371,Kota Magelang,2013,75.29
7201,Banggai Kepulauan,2020,65.42
1404,Pelalawan,2010,65.95
7309,Pangkajene dan Kepulauan,2024,71.22
1103,Aceh Selatan,2017,65.03
5318,Nagekeo,2013,62.24
1211,Karo,2018,73.91
8207,Pulau Morotai,2015,59.27
1672,Kota Prabumulih,2023,76.46
1673,Kota Pagar Alam,2012,63.33
3325,Batang,2019,68.42
1272,Kota Tanjung Balai,2014,66.05
7110,Bolaang Mongondow Selatan,2018,64.49
3212,Indramayu,2020,67.29
7301,Kepulauan Selayar,2018,66.04
3313,Karanganyar,2019,75.89
6171,Kota Pontianak,2018,78.56
6107,Sintang,2010,59.91
8271,Kota Ternate,2019,80.03
6205,Barito Utara,2010,63.87
1214,Nias Selatan,2024,65.02
3323,Temanggung,2011,64.14
5205,Dompu,2023,69.98
3211,Sumedang,2023,73.18
5317,Sumba Barat Daya,2018,61.89
3279,Kota Banjar,2012,67.53
1308,Lima Puluh Kota,2022,70.28
6310,Tanah Bumbu,2013,66.51
1471,Kota Pekanbaru,2023,82.38
3328,Tegal,2019,68.24
7312,Soppeng,2014,64.74
3512,Situbondo,2014,63.91
3520,Magetan,2023,75.41
3371,Kota Magelang,2017,77.84
7108,Siau Tagulandang Biaro,2020,67.64
3303,Purbalingga,2013,65.53
2171,Kota Batam,2018,80.54
1603,Muara Enim,2015,65.82
1216,Pakpak Bharat,2022,68.85
9414,Mappi,2016,56.54
6309,Tabalong,2020,72.19
3602,Lebak,2024,65.86
1200,SUMATERA UTARA,2012,67.74
7106,Minahasa Utara,2016,71.49
7107,Bolaang Mongondow Utara,2021,67.39
1219,Batu Bara,2017,67.2
3276,Kota Depok,2022,81.86
1220,Padang Lawas Utara,2017,68.34
6471,Kota Balikpapan,2021,80.71
9404,Nabire,2016,66.64
9408,Kepulauan Yapen,2017,66.07
1606,Musi Banyuasin,2015,65.76
7203,Morowali,2010,65.25
9420,Keerom,2015,63.43
2172,Kota Tanjung Pinang,2015,77.57
7317,Luwu,2021,70.85
1571,Kota Jambi,2010,72.23
6301,Tanah Laut,2019,69.04
5204,Sumbawa,2010,60.93
8201,Halmahera Barat,2023,66.91
1173,Kota Langsa,2017,75.89
6372,Kota Banjar Baru,2021,79.26
1205,Tapanuli Utara,2011,69.24
1405,Siak,2022,74.5
3328,Tegal,2022,69.53
9602,Dogiyai,2024,57.68
1309,Pasaman,2017,64.94
1673,Kota Pagar Alam,2016,65.96
1971,Kota Pangkal Pinang,2012,75.69
9408,Kepulauan Yapen,2018,67.0
7102,Minahasa,2011,70.82
5201,Lombok Barat,2012,62.24
1208,Asahan,2013,66.58
5272,Kota Bima,2011,70.57
7204,Poso,2018,70.68
3523,Tuban,2015,65.52
1871,Kota Bandar Lampung,2022,78.01
8103,Maluku Tengah,2014,68.69
3207,Ciamis,2016,68.45
1903,Bangka Barat,2019,69.05
1872,Kota Metro,2010,71.37
7104,Kepulauan Talaud,2023,71.14
3311,Sukoharjo,2024,79.3
9408,Kepulauan Yapen,2010,63.5
1871,Kota Bandar Lampung,2015,74.81
3505,Blitar,2021,71.05
6305,Tapin,2014,66.99
5205,Dompu,2014,63.53
9700,PAPUA PEGUNUNGAN,2024,53.42
7202,Banggai,2011,64.63
9101,Fakfak,2013,64.29
7472,Kota Baubau,2012,71.65
8272,Kota Tidore Kepulauan,2013,66.25
1800,LAMPUNG,2024,71.81
7406,Bombana,2020,66.05
3305,Kebumen,2019,69.6
7307,Sinjai,2016,65.36
5314,Rote Ndao,2019,62.22
1572,Kota Sungai Penuh,2017,73.75
5301,Sumba Barat,2022,64.43
9431,Mamberamo Tengah,2022,49.25
3372,Kota Surakarta,2013,78.89
6402,Kutai Barat,2012,67.14
1672,Kota Prabumulih,2019,74.4
6200,KALIMANTAN TENGAH,2015,68.53
1174,Kota Lhokseumawe,2021,77.57
8108,Maluku Barat Daya,2022,63.07
1404,Pelalawan,2013,68.29
7405,Konawe Selatan,2014,65.6
9102,Kaimana,2024,67.6
7407,Wakatobi,2015,67.22
7210,Sigi,2024,70.51
1274,Kota Tebing Tinggi,2016,73.58
3210,Majalengka,2012,63.13
7309,Pangkajene dan Kepulauan,2023,70.59
9102,Kaimana,2013,60.36
1311,Dharmasraya,2020,71.51
5207,Sumbawa Barat,2022,72.65
1278,Kota Gunungsitoli,2014,65.91
8203,Kepulauan Sula,2014,60.18
7111,Bolaang Mongondow Timur,2010,60.04
2104,Lingga,2012,59.38
6371,Kota Banjarmasin,2015,75.41
1300,SUMATERA BARAT,2017,71.24
7314,Sidenreng Rappang,2012,66.19
6504,Nunukan,2023,67.7
1803,Lampung Selatan,2022,69.0
7304,Jeneponto,2015,61.61
5206,Bima,2020,66.3
6107,Sintang,2012,61.66
6474,Kota Bontang,2021,80.59
1109,Pidie,2021,70.7
1771,Kota Bengkulu,2016,77.94
3519,Madiun,2018,71.01
7103,Kepulauan Sangihe,2012,65.87
3503,Trenggalek,2022,71.0
3308,Magelang,2018,69.11
6211,Gunung Mas,2014,68.13
9418,Tolikara,2017,47.89
3505,Blitar,2011,65.47
1706,Mukomuko,2010,62.95
1276,Kota Binjai,2020,75.89
1114,Aceh Tamiang,2024,72.32
7603,Mamasa,2018,64.66
1806,Lampung Utara,2022,68.33
1804,Lampung Timur,2016,67.88
1219,Batu Bara,2019,68.35
1410,Kepulauan Meranti,2024,67.92
7202,Banggai,2014,67.11
1600,SUMATERA SELATAN,2015,67.46
3505,Blitar,2018,69.93
1213,Langkat,2012,66.18
7500,GORONTALO,2012,64.16
6209,Katingan,2017,67.56
5312,Ngada,2022,68.26
1377,Kota Pariaman,2018,76.26
1207,Labuhan Batu,2024,74.18
3327,Pemalang,2021,66.56
7317,Luwu,2017,69.02
3312,Wonogiri,2022,71.04
