wilayah_kode,wilayah,tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
1101,Simeulue,2010,916.02,43.86,388.63,562.07,3.75,-836.11,1078.22
1101,Simeulue,2011,964.55,47.31,449.26,691.32,0.98,-987.08,1166.34
1101,Simeulue,2012,1019.18,54.34,516.59,772.93,7,-1097.99,1272.04
1101,Simeulue,2013,1069.44,61.75,569.79,769.76,6.02,-1084.2,1392.56
1101,Simeulue,2014,1134.57,74.59,626.56,798.56,22.23,-1139.64,1516.87
1101,Simeulue,2015,1213.59,67.45,701.81,825.99,5.26,-1173.98,1640.12
1101,Simeulue,2016,1300.95,73.39,719.88,897.81,6.41,-1225.88,1772.57
1101,Simeulue,2017,1394.01,82.94,762.23,898.61,5.48,-1246.24,1897.04
1101,Simeulue,2018,1492.82,90.55,800.33,944.43,5.35,-1290.64,2042.84
1101,Simeulue,2019,1583.3,95.18,848.07,976.23,5.51,-1296.4,2211.89
1101,Simeulue,2020,1620.01,94.49,769.77,1041.17,5.69,-1256.77,2274.36
1101,Simeulue,2021,1665.12,93.8,831.37,1067.2,6.03,-1203.23,2460.29
1101,Simeulue,2022,1771.88,101,832.01,1092.34,-1.35,-1107.85,2688.03
1101,Simeulue,2023,1926.92,111.96,854.81,1214.84,1.56,-1174.98,2935.1
1101,Simeulue,2024,2015.09,126.34,860.99,1264.84,0.37,-1116.88,3150.76
1102,Aceh Singkil,2010,807.3,24.59,496.41,396.03,2.9,-516.19,1211.05
1102,Aceh Singkil,2011,859.03,25.12,554.62,448.28,0.8,-563,1324.85
1102,Aceh Singkil,2012,924.69,25.52,593.43,494.17,5.89,-600.04,1443.66
1102,Aceh Singkil,2013,1001.43,27.39,640.98,501.2,0.37,-607.89,1563.47
1102,Aceh Singkil,2014,1098.01,32.73,647.06,541.07,0,-632.76,1686.11
1102,Aceh Singkil,2015,1212.9,32.21,849.8,571.84,0,-850.34,1816.42
1102,Aceh Singkil,2016,1319.3,35.51,860.25,618.57,5.48,-858.47,1980.64
1102,Aceh Singkil,2017,1451.35,40.2,862.68,661.88,17.97,-907.63,2126.45
1102,Aceh Singkil,2018,1548.61,42.92,870.3,712.58,36.54,-955.76,2255.19
1102,Aceh Singkil,2019,1659.15,46.8,889.06,783.54,30.64,-1013.78,2395.41
1102,Aceh Singkil,2020,1674.42,47.55,826.56,821.82,31.06,-978.8,2422.61
1102,Aceh Singkil,2021,1723.83,46.15,900.81,849.38,29.92,-835.69,2714.4
1102,Aceh Singkil,2022,1837.94,50.88,917.25,898.63,-1.64,-698.49,3004.57
1102,Aceh Singkil,2023,1925.89,54.23,933.56,975.56,5.91,-692.64,3202.51
1102,Aceh Singkil,2024,2022.17,65.02,1036.79,1031.58,4.48,-718.96,3441.08
1103,Aceh Selatan,2010,1979.86,57.07,622.84,786.18,16.59,-631.93,2830.61
1103,Aceh Selatan,2011,2149.6,62.73,705.88,903.69,4.33,-739.19,3087.04
1103,Aceh Selatan,2012,2296.76,67.7,807.25,1068.62,30.51,-939.58,3331.25
1103,Aceh Selatan,2013,2505.56,75.46,1021.98,1189.91,1.84,-1147.61,3647.14
1103,Aceh Selatan,2014,2750.82,88.26,1088.24,1342.49,-0.02,-1340.11,3929.69
1103,Aceh Selatan,2015,2896.93,89.95,1183.37,1472.65,34.35,-1449.95,4227.3
1103,Aceh Selatan,2016,3124.37,94.06,1213.28,1630.3,33.4,-1541.55,4553.86
1103,Aceh Selatan,2017,3369.82,102.65,1279.11,1725.44,30.8,-1652.81,4855.01
1103,Aceh Selatan,2018,3594.23,108.06,1303.7,1780.9,-124.05,-1465.62,5197.23
1103,Aceh Selatan,2019,3770.24,114.96,1395.21,1965.69,42.75,-1809.43,5479.43
1103,Aceh Selatan,2020,3769.35,106.6,1238.78,2004.09,15.11,-1603.18,5530.75
1103,Aceh Selatan,2021,3893.91,106.85,1340.15,2092.63,20.19,-1483.88,5969.85
1103,Aceh Selatan,2022,4135.8,117.1,1301.14,2149.46,-0.39,-1256.6,6446.52
1103,Aceh Selatan,2023,4252.53,126.11,1318.04,2352.52,25,-1110.74,6963.46
1103,Aceh Selatan,2024,4505.19,145.72,1397.89,2527.03,3.1,-1112.7,7466.23
1104,Aceh Tenggara,2010,1971.29,76.83,664.19,672.61,2.23,-1049.41,2337.74
1104,Aceh Tenggara,2011,2156.97,80.87,755.32,760.5,2.56,-1176.26,2579.95
1104,Aceh Tenggara,2012,2342.98,90.45,797.81,790.04,17.36,-1246.38,2792.27
1104,Aceh Tenggara,2013,2531.55,99.62,891.06,825.53,1.13,-1296.78,3052.11
1104,Aceh Tenggara,2014,2739.47,124.61,971.01,951.99,-0.01,-1473.3,3313.78
1104,Aceh Tenggara,2015,2929.26,125.95,1073.66,998.02,-1.68,-1558.06,3567.14
1104,Aceh Tenggara,2016,3104.2,143.16,1138.88,1103.31,-0.99,-1605.38,3883.18
1104,Aceh Tenggara,2017,3309.37,157.81,1151.67,1196.53,136.98,-1707.22,4245.13
1104,Aceh Tenggara,2018,3524.26,182.27,1136.72,1285.85,397.98,-1968.32,4558.77
1104,Aceh Tenggara,2019,3787.3,210.84,1302.54,1369.32,226.99,-1990.08,4906.92
1104,Aceh Tenggara,2020,3855.13,204.73,1293.5,1478.29,145.61,-1918.73,5058.53
1104,Aceh Tenggara,2021,3946.21,192.8,1381.97,1531.03,101.31,-1731.74,5421.59
1104,Aceh Tenggara,2022,4168.53,205.55,1440.37,1594.67,-22.6,-1557.83,5828.69
1104,Aceh Tenggara,2023,4432.18,233.48,1390.93,1700.8,38.68,-1538.13,6257.95
1104,Aceh Tenggara,2024,4622.99,279.49,1522.39,1810.66,50.04,-1547.7,6737.89
1105,Aceh Timur,2010,4254.29,147.94,862.03,1854.01,15.49,156.28,7290.04
1105,Aceh Timur,2011,4546.97,160.13,970.75,2224.14,4.32,-211.21,7695.12
1105,Aceh Timur,2012,4853.82,182.49,1035.79,2545.9,30.12,-559.14,8088.98
1105,Aceh Timur,2013,5188.22,200.35,1187.56,2516.63,0.44,-659.67,8433.53
1105,Aceh Timur,2014,5571.2,242.95,1304.09,2811.71,-0.02,-1235.07,8694.87
1105,Aceh Timur,2015,6053.96,251.89,1382.08,3019.83,0,-2512.04,8195.73
1105,Aceh Timur,2016,6588.07,275.81,1406.54,3233.48,41.07,-3035.23,8509.74
1105,Aceh Timur,2017,7043.52,290.02,1477.83,3387.3,78.11,-3172.02,9104.76
1105,Aceh Timur,2018,7516.13,304.22,1487.35,3565.45,140.4,-3327.85,9685.7
1105,Aceh Timur,2019,7919.42,317.84,1550.05,3746.45,147.4,-3400.35,10280.8
1105,Aceh Timur,2020,8155.93,316.86,1469.17,3929.59,188.61,-3454.39,10605.78
1105,Aceh Timur,2021,8508.55,298.6,1597.8,4119.79,182.12,-3009.02,11697.83
1105,Aceh Timur,2022,9037.58,328.97,1543.87,4276.61,35.98,-2121.94,13101.06
1105,Aceh Timur,2023,9599.72,368.34,1571.54,4339.77,36.74,-2115.4,13800.69
1105,Aceh Timur,2024,10083.42,437.77,1757.04,4725.17,-1.08,-2066.98,14935.34
1106,Aceh Tengah,2010,1996.05,56.23,650.4,1729.57,26.31,-487.57,3970.99
1106,Aceh Tengah,2011,2126.98,59.59,744.63,1971.23,6.73,-604.75,4304.41
1106,Aceh Tengah,2012,2254.27,62.61,814.88,2214.15,46.13,-749.57,4642.47
1106,Aceh Tengah,2013,2403.85,67.71,951.74,2260.48,0.39,-612.79,5071.37
1106,Aceh Tengah,2014,2569.03,83.18,1058.52,2450.18,-0.03,-698.36,5462.53
1106,Aceh Tengah,2015,2732.15,89.77,1206.23,2575.22,-0.02,-728.23,5875.12
1106,Aceh Tengah,2016,2891.16,97.19,1244.85,2702.88,38.56,-667.39,6307.25
1106,Aceh Tengah,2017,3071.12,106.95,1246.89,2822.03,100.38,-625.42,6721.94
1106,Aceh Tengah,2018,3260.03,114.87,1248.35,2975.58,121.37,-542.1,7178.1
1106,Aceh Tengah,2019,3469.77,129.53,1310.48,3178.69,110.27,-726.3,7472.45
1106,Aceh Tengah,2020,3428.2,126.22,1210.43,3194.34,35.07,-606.9,7387.37
1106,Aceh Tengah,2021,3508.74,127.46,1277.36,3326.19,44.36,-252.16,8031.95
1106,Aceh Tengah,2022,3721.57,138.42,1294.57,3391.86,32.66,294.33,8873.41
1106,Aceh Tengah,2023,4033.87,153.17,1329.77,3800.74,23.17,501.79,9842.5
1106,Aceh Tengah,2024,4390.49,194.83,1594.65,4108.29,38.08,395.07,10721.42
1107,Aceh Barat,2010,2148.29,88.82,625.26,2093.67,85.48,-579.49,4462.05
1107,Aceh Barat,2011,2293,93.94,699.95,2339.64,23.02,-776.55,4673.01
1107,Aceh Barat,2012,2414.57,100.43,741.15,2516.26,66.03,-1094.51,4743.93
1107,Aceh Barat,2013,2599.41,109.03,904.13,2478.43,5.19,-1043.06,5053.12
1107,Aceh Barat,2014,2853.66,133.15,1008.4,2667.05,-0.05,-1193.27,5468.95
1107,Aceh Barat,2015,3058.76,133.06,1187.42,2801.5,-0.02,-1352.36,5828.35
1107,Aceh Barat,2016,3281.02,148.02,1163.78,3089,521.54,-2019.13,6184.23
1107,Aceh Barat,2017,3505.51,165.24,1214.88,3350.15,234.22,-1523.08,6946.92
1107,Aceh Barat,2018,3698.83,179.88,1234.76,3594.8,264.93,-1280.72,7692.48
1107,Aceh Barat,2019,3909.84,200.14,1315.8,3822.1,58.75,-1342.27,7964.35
1107,Aceh Barat,2020,4001.57,205.09,1266.98,3994.97,91.16,-1450.52,8109.23
1107,Aceh Barat,2021,4160.38,208.01,1370.24,4107.97,81.43,55.07,9983.11
1107,Aceh Barat,2022,4518.39,236.54,1380.16,4260.46,136.25,2198.37,12730.16
1107,Aceh Barat,2023,4919.56,267.49,1498.72,4706.45,81.6,2098.1,13571.92
1107,Aceh Barat,2024,5167.61,333.87,1602.47,5242.65,74,1632.64,14053.24
